SKU SITO,NOTE,STATO,SKU AMAZON,COD ARTICOLO,NOME GESTIONALE,QTY GIACENZA,QTY VENDUTA,TIPO MATCH,SCORE,TITOLO AMAZON,PREZZO AMAZON,ASIN,URL AMAZON,DESCR. AMAZON
FAN1076084,,✅ SU WOOCOMMERCE,FAN1076084,FAN1076084,BLACK LIGHTENING CREAM crema decolorante nera 500 GR,7,4,DIRETTO (SKU=COD),100,FANOLA Black Lightning Cream Crema Decolorante Nera 500gr,253,0704F5O3M7K,https://www.amazon.it/dp/B096SSH4JB,
FAN1076086,,✅ SU WOOCOMMERCE,FAN1076086,FAN1076086,COLOR MASK TOTAL BLACK 200ML FANOLA,2,2,DIRETTO (SKU=COD),100,FANOLA Maschera colorante capelli TOTAL BLACK 200 ML,14,0514HJCC2D3,https://www.amazon.it/dp/B093HJ3YMP,
FAN1076087,,✅ SU WOOCOMMERCE,FAN1076087,FAN1076087,COLOR MASK SENSUAL CHOCOLATE 200ML FANOLA,6,6,DIRETTO (SKU=COD),100,Fanola Maschera colorante capelli SENSUAL CHOCOLATE 200 ML,14,0514HKKBPY5,https://www.amazon.it/dp/B093L8LLXX,
FAN1076088,,✅ SU WOOCOMMERCE,FAN1076088,FAN1076088,COLOR MASK GOLDEN AURA 200ML FANOLA,8,8,DIRETTO (SKU=COD),100,Fanola Maschera colorante capelli GOLDEN AURA 200 ML,14,0514HK0QLI8,https://www.amazon.it/dp/B093LDC4NF,
FAN1076089,,✅ SU WOOCOMMERCE,FAN1076089,FAN1076089,COLOR MASK COPPER FLOW 200ML FANOLA,11,11,DIRETTO (SKU=COD),100,"Fanola Color Mask Copper Flow, Maschera Pigmentata Nutriente per Capelli Scuri Naturali o Trattati ad Azione Condizionante per un Colore Vivido e Luminoso, Senza Siliconi, 200 ml",14,0514HJLRLBR,https://www.amazon.it/dp/B093LBQPPT,
FAN1076090,,✅ SU WOOCOMMERCE,FAN1076090,FAN1076090,COLOR MASK RED PASSION 200ML FANOLA,8,9,DIRETTO (SKU=COD),100,"Fanola Color Mask Red Passion, Maschera Pigmentata Nutriente per Capelli Scuri Naturali o Trattati ad Azione Condizionante per un Colore Vivido e Luminoso, 200 ml",14,0514HJ2FFX6,https://www.amazon.it/dp/B093LBC6M1,
FAN1076091,,✅ SU WOOCOMMERCE,FAN1076091,FAN1076091,COLOR MASK SILKY PURPLE 200ML FANOLA,3,3,DIRETTO (SKU=COD),100,Fanola Maschera colorante capelli SILKY PURPLE 200 ML,14,0514HKKMCRM,https://www.amazon.it/dp/B093LBKS3C,
FAN1076092,,✅ SU WOOCOMMERCE,FAN1076092,FAN1076092,COLOR MASK PINK SUGAR 200ML FANOLA,4,4,DIRETTO (SKU=COD),100,Fanola Maschera colorante capelli PINK SUGAR 200 ML,14,0514HKLCB9M,https://www.amazon.it/dp/B093LBQJK6,
FAN1076093,,✅ SU WOOCOMMERCE,FAN1076093,FAN1076093,COLOR MASK OCEAN BLUE 200ML FANOLA,1,1,DIRETTO (SKU=COD),100,Fanola Maschera colorante capelli OCEAN BLUE 200 ML,14,0514HJYIR4H,https://www.amazon.it/dp/B093LBTGH8,
FAN1076094,,✅ SU WOOCOMMERCE,FAN1076094,FAN1076094,COLOR MASK CLOVER GREEN 200ML FANOLA,3,3,DIRETTO (SKU=COD),100,FANOLA Maschera colorante capelli CLOVER GREEN 200 ML,14,0514HJ6K1PK,https://www.amazon.it/dp/B093LB3538,
