ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi,Meta: _asin,Meta: _amazon_url,Meta: _et_builder_dynamic_assets_loading_attr_threshold,Meta: _last_change_time,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content
,simple,FAN86073,,"Fanola Crema Colore Colouring Cream 9.04 Biondo Chiaro Naturale Rame, 100 ml",1,,visible,,,,,taxable,,1,10,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0430H2AJVJD,https://www.amazon.it/dp/B00CGPID6U,,,,,,,,,,
,simple,FAN86074,,FANOLA TINTURA 5.1,1,,visible,,,,,taxable,,1,5,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0514HJ6U8YH,https://www.amazon.it/dp/B00CGPJI4Q,,,,,,,,,,
,simple,FAN86075,,FANOLA COLOR CENERE 10.1,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAHY4ZS,https://www.amazon.it/dp/B00CGPM8T8,,,,,,,,,,
,simple,FAN86077,,"Fanola Crema colore Colouring Cream 9.14 Noce, 100 ml",1,,visible,,,,,taxable,,1,3,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HADGQDK,https://www.amazon.it/dp/B00CGPID2E,,,,,,,,,,
,simple,FAN86078,,FANOLA TINTURA 10.14,1,,visible,,,,,taxable,,1,5,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0514HJC40WI,https://www.amazon.it/dp/B00CGPQ7BI,,,,,,,,,,
,simple,FAN86080,,FANOLA TINTURA 10.3,1,,visible,,,,,taxable,,1,5,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0514HJCIXTO,https://www.amazon.it/dp/B00CGPQXMG,,,,,,,,,,
,simple,FAN86081,,FANOLA - Crema tintura per capelli Fanola 100 ml 11.2 Super Blond Platin Perl,1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAAQXUF,https://www.amazon.it/dp/B00CGPM24E,,,,,,,,,,
,simple,FAN86083,,FANOLA COLOR ROSSI 4.6,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAL2X59,https://www.amazon.it/dp/B00CGPLBC8,,,,,,,,,,
,simple,FAN86161,,"Fanola - Crema ossidante, 10 volumi, 1 L",1,,visible,,,,,taxable,,1,16,,,0,,,,,,,,9.50,Fanola,,,,,,,,,,,,,,0205HCLX150,https://www.amazon.it/dp/B00PZ0ZHEO,,,,,,,,,,
,simple,FAN86162,,"Fanola Acqua Ossigenata 1L, 20 Vol. 6%",1,,visible,,,,,taxable,,1,20,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0328FWAAVXI,https://www.amazon.it/dp/B00PZ0ZC7G,,,,,,,,,,
