SKU,NOME,ASIN,URL_AMAZON
FAN86806,FANOLA COLOR COLOR KERATIN ORO PURO NATURALI INTENSI 8.00,0423H6GDRZJ,https://www.amazon.it/dp/B01EHQ0OCG
FAN86812,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 6.5,0423H6C1JTT,https://www.amazon.it/dp/B01EJZ5Q32
FAN96361,Fanola Tinte 9.2F Rubio clarísimo violeta fantasía 100 mL - Tinte crema colorante permanente para el cabello pelo - Color uniforme y brillante - PROFESIONAL,0424HABHJVZ,https://www.amazon.it/dp/B01MZ2D4WH
FAN96362,FANOLA Hair Color 100 ML variazione di Fanola Hair Color 2 10.2 F Blonde Platinum Fantasy Violet,0424HAHZVJ6,https://www.amazon.it/dp/B01MZ2D8FR
FAN96628,"ghd Platinum Styler, bianco, 1 unità",0514HKJBFRD,https://www.amazon.it/dp/B07BTC7JGX
ICOM1301,RIVIT MANI EMULSIONE IGIENIZZANTE MANI 100 ML,0513FK56DNZ,https://www.amazon.it/dp/B0F8J5DNWZ
"ID120,021",Idema Latta Cera Zinco 400 ml.,0324FIFDM90,https://www.amazon.it/dp/B086R5C9RH
"ID1500,001",RULLO RICARICA PREMIUM TITANIO 80 ML - CF 6 PZ,0221FXRH18V,https://www.amazon.it/dp/B0DY1MHYKY
"ID1500,100","CERA DEPILATORIA AL TITANIO ROSA 350 ml IN MICROONDE IN 3"" MINUTI SCALDACERA IN 20"" MINUTI PROFESSIONALE",0131FDM40YV,https://www.amazon.it/dp/B01C0QG0NC
"ID180,001","Idema - Basic Line Cera Depilatoria liposolubile professionale ideale per ogni parte del corpo, Giallo Miele, formato da 400 ML",0217FKYP69Y,https://www.amazon.it/dp/B086HPB16D
"ID4441,15",Lama Sgorbia Sterile N° 15 Acciaio Kiepe Professional Manicure Pedicure - Confezione 20 lame (15 mm),0119HOWNLFP,https://www.amazon.it/dp/B0GHNZBC8M
"ID920,209",Pellet di miele di cera pelabile Xanitalia 1000 Grs,0311FENSVB1,https://www.amazon.it/dp/B076DDR2ZS
"ID930,654",Cera Depilatoria Liposolubile Monouso Senza Strisce - Mango - Multidirezionale - Senza Colofonia - 1000 gr,0704F53Q9N6,https://www.amazon.it/dp/B08MTN41B2
ID930.655,"Xanitalia Pro Il Multidirezionale Frutto Della Passione Perfect Touch Film Cera - 1000 Gr, Bianco",0128F7JWYGX,https://www.amazon.it/dp/B08C17YZ9C
ID950.313,REGEA Siero Idratazione Profonda 100ml,0521HCSUNVX,https://www.amazon.it/dp/B07DY9BY2W
ID950.340,Maschera viso lenitiva - olio di germe di grano e vitamina E - anti-rossore maschera facciale - programma Sensitive Skin,0521HCS88S6,https://www.amazon.it/dp/B08KHJFH7P
IEVSP/L,Generico GUANTO IN VINILE ESSENTIAL 511 – TAGLIA S/M/L,0529H9OMYJT,https://www.amazon.it/dp/B0H39F9JMW
ITM1821-S,"Sanitec detergente disinfettante Multi Activ Bagno (6 pezzi) pronto all' uso per superfici ad uso ambientale, 750 ml, Sanitec. alcolico",0415FBNX0XB,https://www.amazon.it/dp/B07HQLVZNR
J7517908,Diversey 7517908 Cif Bagno 2in1,0626FF9LSJ4,https://www.amazon.it/dp/B00BEUQTBO
"KP4441,1",Lama Sgorbia Sterile N° 1 Acciaio Kiepe Professional Manicure Pedicure - Confezione 20 lame (1 mm),0116HGG8HXQ,https://www.amazon.it/dp/B0GH84WRMC
"KP4441,2",Lama Sgorbia Sterile N° 2 Acciaio Kiepe Professional Manicure Pedicure - Confezione 20 lame (2 mm),0119HOIP6SM,https://www.amazon.it/dp/B0GHPHW5PX
"KP4441,6",Lama Sgorbia Sterile N° 6 Acciaio Kiepe Professional Manicure Pedicure - Confezione 20 lame (6 mm),0119HOOXM96,https://www.amazon.it/dp/B0GHNC4TZN
MD0000,Peroxill 2000 Disinfettante Sterilizzante in Polvere - 1kg,0206HF8W3IP,https://www.amazon.it/dp/B07XDZGNWW
MD0145,LENYDERM TUBO DA 150 ML - PASTA SPECIALE ALL'OSSIDO DI ZINCO,0616FGN0Z7Z,https://www.amazon.it/dp/B0FDB8K963
MD01AM0010,Disinfettante liquido concentrato per superfici DECS PURO - Flacone 1.000 ml,0407H8IF4O4,https://www.amazon.it/dp/B0GWF2PTWG
MD0213,BACTISAN SPRAY - SOLUZIONE IDROALCOLICA PRONTA ALL'USO - FLACONE DA 1.000,0715F48DG7M,https://www.amazon.it/dp/B0FHKRC7D1
MD0496,HYGIENBAR CPR WASHING TAB - Detergente Tazzine e Bicchieri per Macchine Automatiche - Confezione da 160 Compresse,0407H8VKPZ9,https://www.amazon.it/dp/B0GWF8YNG9
MD06BE0181,"DERMACLYN - DERMODETERGENTE LIQUIDO PH 5,5 - FLACONE 1.000 ML",0617FK09QA9,https://www.amazon.it/dp/B0FDGP2KYY
MD07AX0401,PULITORE RAPIDO PER FRIGGITRICI FRY COMPRESSE - CONF. DA 25 COMPRESSE,0109HU6W3G3,https://www.amazon.it/dp/B0GFX9NVJY
MD07GA0020,AMEDICS Pastiglie di Cloro CLORHYGIEN Plus Igienizzante clorattivo 333 compresse,0407H8M457O,https://www.amazon.it/dp/B07DFGSMLZ
MDLHSTERUPSG075,STER UP Sgrassatore - Detergente disinfettante a base d sali di ammonio quaternario - Flacone 750 ml,0407H8WTML3,https://www.amazon.it/dp/B0GWFJK4L7
ROCER421,CERA CARTUCCIA TITANIO ROSA 100 ML -  RO,0320F5Y969H,https://www.amazon.it/dp/B0F227TRNV
RODEP539,OLIO POST-EPILAZIONE 1000 ML,0221FXRVDYF,https://www.amazon.it/dp/B0DY1PN3K8
SIGBBC003BIO50BOL,Generico PIATTO FONDO 680 ML IN FIBRA DI CANNA DA ZUCCHERO - COMPOSTABILE E BIODEGRADABILE - CF. 50 PIATTI,0507F25GHNC,https://www.amazon.it/dp/B0F7RLGT9X
SIGBPC003BIO50B,Generico PIATTO LISCIO DIAM. 22 CM IN POLPA DI CELLULOSA BIODEGRADABILE E COMPOSTABILE - CONF. DA 500 PEZZI,0613F8O6ZSZ,https://www.amazon.it/dp/B0FD3W66QH
SM0217/10,"FORCHETTA SIAM QUALITY BIODEGRADABILE E COMPOSTABILE LUNGHEZZA 16,5 CM - CONFEZIONE DA 50 PEZZI",0507F2A5SDW,https://www.amazon.it/dp/B0F7RL5GDX
SM0217/11,"Generico COLTELLI SIAM QUALITY BIODEGRADABILE E COMPOSTABILE LUNGHEZZA 16,5 CM - CONFEZIONE DA 50 PEZZI",0508F50W7JT,https://www.amazon.it/dp/B0F7XM8SMF
VD11705,BIS DI POSATE BIANCHE IMBUSTATE CON TOVAGLIOLI 2 VELI - BIODEGRADABILI E COMPOSTABILI - CONFEZIONE DA 25 PEZZI,0612F47AJEG,https://www.amazon.it/dp/B0FCY3VFG7
FAN86005,Fanola Crema Colore per capelli 6/0 Fanola Crema Colore per capelli 6/0 – 100 ML,0424HAIOMOI,https://www.amazon.it/dp/B00CGPL3R6
FAN86007,"FANOLA - Crema tintura per capelli, 100 ml, 8.0, biondo chiaro",0424HAISKHR,https://www.amazon.it/dp/B00CGPJRIS
FAN86017,"FANOLA 8.04 - Crema colorante per capelli, biondo chiaro naturale, rame, 100 ml",0424HAENNDZ,https://www.amazon.it/dp/B00CGPL9IE
FAN86048,"FANOLA - Crema colorante per capelli, 100 ml, 7.43 biondo rame dorato",0424HAIRR95,https://www.amazon.it/dp/B00CGPL6T6
FAN86060,"Fanola Crema colorante Colouring Cream 6.6 Biondo scuro Rosso, 100 ml",0424HA9IL4U,https://www.amazon.it/dp/B00CGPMABY
FAN86063,FANOLA COLOR SUPERSCHIARENTI 11.1,0424HAAL5DC,https://www.amazon.it/dp/B00CGPIR0C
FAN86064,FANOLA - Crema tintura per capelli Fanola 100 ml 11.13 Super Blond Platino Beige,0424HAAJ0BI,https://www.amazon.it/dp/B00CGPP2IW
FAN86086,D´Shila Plasters and bandages-Protect fingers - 250 gr,0424HAIUK7I,https://www.amazon.it/dp/B00CGPLSH6
FAN86304,Fanola Hair Color 100 ml variante di Fanola Hair Color 2 7.11 biondo medio intenso cenere,0430H1Z1YNL,https://www.amazon.it/dp/B00PZ0P2OE
FAN86324,FANOLA TINTURA 12.2,0514HKK46CV,https://www.amazon.it/dp/B00PZ0QAY0
FAN86432,TINTA ORO COLOR KERATING 100ML 10,0423H6C1ZZ5,https://www.amazon.it/dp/B00GIMCZIY
FAN86433,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 4.2,0423H6O3JMJ,https://www.amazon.it/dp/B00GIMD0TC
FAN86463,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 11.7,0423H6I25LO,https://www.amazon.it/dp/B01EJZSOH2
FAN96358,Fanola Tinte 8.2F Rubio claro violeta fantasía 100 mL - Tinte crema colorante permanente para el cabello pelo - Color uniforme y brillante - PROFESIONAL,0424HAAMCM3,https://www.amazon.it/dp/B01N5I01EJ
ITM1540N-S,SANITEC igiene sicura Bakterio Disinfettante per Ambienti al Profumo di Pino Balsamico,0401F76XO2T,https://www.amazon.it/dp/B00NO1R50K
